"puntos_significativos";"coordenadas";"lat";"long";"ubicacion"
"TODLO";"501720S-0721202W";-50,2888888888889;-72,2005555555556;"IAC ECA"
"TOGNO";"430052S-0624348W";-43,0144444444444;-62,73;"UZ117"
"TOGOR";"533424S-0683638W";-53,5733333333333;-68,6105555555555;"B561"
"TOGUR";"425715S-0655219W";-42,9541666666667;-65,8719444444444;"SID DRY"
"TOKUS";"290001S-0653919W";-29,0002777777778;-65,6552777777778;"STAR CAT"
"TOLEM";"303117S-0613103W";-30,5213888888889;-61,5175;"UL404-UM400"
"TOLUK";"323905S-0611734W";-32,6513888888889;-61,2927777777778;"W5-SID ROS-TMA ROS"
"TOMIV";"413136S-0675333W";-41,5266666666667;-67,8925;"T657 T105 UT657 UT105"
"TONAR";"411430S-0715100W";-41,2416666666667;-71,85;"B682-UM658-SID BAR-STAR BAR- TMA BAR"
"TOPAG";"471230S-0701730W";-47,2083333333333;-70,2916666666667;"UT100-UT658"
"TOPIL";"384805S-0645638W";-38,8013888888889;-64,9438888888889;"UW41"
"TOPOG";"282920S-0614934W";-28,4888888888889;-61,8261111111111;"UL417-UL404"
"TORAP";"364642S-0641301W";-36,7783333333333;-64,2169444444445;"IAC OSA"
"TORES";"414324S-0710940W";-41,7233333333333;-71,1611111111111;"W44-UW44-UZ108-SID BAR- STAR BAR-TMA ESQ-TMA BAR"
"TORUK";"501149S-0722037W";-50,1969444444444;-72,3436111111111;"IAC ECA-STAR ECA"
"TORUL";"352142S-0592624W";-35,3616666666667;-59,44;"T654-UT654-SID AER EZE-TMA BAIRES"
"TOSOR";"335443S-0643021W";-33,9119444444444;-64,5058333333333;"W9--UL405-UT687-TMA VME"
"TREJO";"304633S-0632017W";-30,7758333333333;-63,3380555555556;"A307-UL531-SID CBA-STAR CBA- TMA CBA"
"TRINI";"343346S-0584726W";-34,5627777777778;-58,7905555555556;"IAC FDO STAR AER"
"UBLID";"274242S-0641640W";-27,7116666666667;-64,2777777777778;"SID SDE"
"UBLUM";"383447S-0621908W";-38,5797222222222;-62,3188888888889;"IAC BCA-STAR BCA"
"UBRIX";"254458S-0625203W";-25,7494444444444;-62,8675;"UM799-UL417"
"UBSAS";"214825S-0661414W";-21,8069444444444;-66,2372222222222;"UM776"
"UBSOX";"301233S-0654306W";-30,2091666666667;-65,7183333333333;"UW16"
"UBSUT";"264530S-0593310W";-26,7583333333333;-59,5527777777778;"UM529 UM784"
"UDENA";"432659S-0634703W";-43,4497222222222;-63,7841666666667;"UT108"
"UDENO";"260729S-0545614W";-26,1247222222222;-54,9372222222222;"B688-N785-SID IGU-STAR IGU-TMA FOZ"
"UDEPI";"632329S-0575013W";-63,3913888888889;-57,8369444444444;"W56-UW56-Z133-UZ133- TMA MBI"
"UDEXA";"323240S-0645801W";-32,5444444444444;-64,9669444444445;"W19"
"UDITA";"332139S-0605927W";-33,3608333333333;-60,9908333333333;"W24-UW24"
"UDOPU";"383352S-0620138W";-38,5644444444444;-62,0272222222222;"IAC BCA-STAR BCA"
"UDUDA";"273704S-0590741W";-27,6177777777778;-59,1280555555556;"IAC SIS-SID SIS-SID CRS"
"UDULI";"424557S-0644011W";-42,7658333333333;-64,6697222222222;"STAR TRE"
"UDUPA";"334704S-0623818W";-33,7844444444444;-62,6383333333333;"UT670-UZ113"
"UGAGI";"383908S-0684011W";-38,6522222222222;-68,6697222222222;"R683-STAR NEU-UZ107-Z107-TMA NEU"
"UGAKO";"270434S-0553139W";-27,0761111111111;-55,5275;"B687-TMA POS"
"UGALA";"323545S-0595602W";-32,5958333333333;-59,9338888888889;"W8-UW8-TMA PAR"
"UGASI";"273944S-0582613W";-27,6622222222222;-58,4369444444444;"IAC CRS STAR CRS SIS"
"UGERA";"372440S-0591454W";-37,4111111111111;-59,2483333333333;"IAC DIL"
"UGIBO";"273256S-0590554W";-27,5488888888889;-59,0983333333333;"IAC SIS"
"UGIMI";"345858S-0565302W";-34,9827777777778;-56,8838888888889;"A306-UL405-STAR AER EZE-TMA BAIRES"
"UGIRA";"543000S-0681904W";-54,5;-68,3177777777778;"W63-UW63-SID USU-TMA USU-TMA GRA"
"UGONO";"385058S-0622735W";-38,8494444444444;-62,4597222222222;"IAC BCA"
"UGOXU";"501617S-0715422W";-50,2713888888889;-71,9061111111111;"STAR ECA"
"UGRIN";"265610S-0650723W";-26,9361111111111;-65,1230555555556;"IAC TUC"
"UGRIS";"494707S-0715503W";-49,7852777777778;-71,9175;"UT659-T659 -UT110-STAR ECA-SID ECA-TMA ECA"
"UGSIN";"544947S-0675734W";-54,8297222222222;-67,9594444444444;"IAC USU"
"UGUGI";"322900S-0610623W";-32,4833333333333;-61,1063888888889;"STAR ROS"
"UGVAX";"215745S-0633907W";-21,9625;-63,6519444444444;"N650"
"UKABI";"390444S-0675729W";-39,0788888888889;-67,9580555555556;"IAC NEU"
"UKEKA";"424232S-0714435W";-42,7088888888889;-71,7430555555556;"L775-TMA ESQ"
"UKESO";"312054S-0685701W";-31,3483333333333;-68,9502777777778;"B560-SID JUA-STAR JUA-TMA JUA"
"UKEXI";"245430S-0652451W";-24,9083333333333;-65,4141666666667;"SID SAL"
"UKLIK";"323809S-0682957W";-32,6358333333333;-68,4991666666667;"IAC DOZ-STAR DOZ"
"UKLOV";"501747S-0721948W";-50,2963888888889;-72,33;"IAC ECA"
"UKLUS";"255203S-0543627W";-25,8675;-54,6075;"SID IGU"
"UMKAD";"301429S-0654022W";-30,2413888888889;-65,6727777777778;"W16"
"UMKAL";"325300S-0700000W";-32,8833333333333;-70;"L405-UL405-UZ105-UT687-TMA DOZ-SID DOZ"
"UMKEV";"290444S-0633548W";-29,0788888888889;-63,5966666666667;"UL550 UM529"
"UMLOP";"513516S-0685315W";-51,5877777777778;-68,8875;"STAR GAL-IAC GAL"
"UMPOX";"293555S-0643329W";-29,5986111111111;-64,5580555555556;"UW5 UN525 UM529"
"UMSAR";"310819S-0611321W";-31,1386111111111;-61,2225;"UM418"
"UMTAB";"362452S-0641358W";-36,4144444444444;-64,2327777777778;"IAC OSA"
"UPOMA";"345139S-0581252W";-34,8608333333333;-58,2144444444444;"IAC EZE"
"URASI";"311803S-0580000W";-31,3008333333333;-58;"N785"
"URETI";"322633S-0592743W";-32,4425;-59,4619444444444;"UN775"
"UREVI";"243133S-0640409W";-24,5258333333333;-64,0691666666667;"UM789-UZ112"
"URINO";"344159S-0593827W";-34,6997222222222;-59,6408333333333;"UL405-W9-SID AER EZE-TMA BAIRES"
"URISI";"361957S-0641245W";-36,3325;-64,2125;"IAC OSA"
"UROLI";"283811S-0582822W";-28,6363888888889;-58,4727777777778;"W14-UW14-Z120-UZ120"
"USEPA";"292233S-0601341W";-29,3758333333333;-60,2280555555556;"W14-TMA RCQ"
"USESA";"402232S-0625242W";-40,3755555555556;-62,8783333333333;"W18-SID VIE-TMA VIE"
"USILO";"431741S-0650515W";-43,2947222222222;-65,0875;"SID TRE"
"USIXU";"244452S-0652745W";-24,7477777777778;-65,4625;"SID SAL"
"USOTU";"454554S-0671843W";-45,765;-67,3119444444444;"IAC CRV"
"USTOT";"221111S-0660420W";-22,1863888888889;-66,0722222222222;"UM776"
"USTOX";"445705S-0682845W";-44,9513888888889;-68,4791666666667;"UT100-UW50"
"USVER";"353407S-0680138W";-35,5686111111111;-68,0272222222222;"UM783-UT685"
"USVET";"331527S-0671533W";-33,2575;-67,2591666666667;"UL405-UT652"
"UTBED";"305749S-0671200W";-30,9636111111111;-67,2;"UM529 LIMITE FIR DOZ CBA"
"UTLEP";"425350S-0652415W";-42,8972222222222;-65,4041666666667;"IAC DRY"
"UTLIX";"312403S-0683203W";-31,4008333333333;-68,5341666666667;"IAC JUA STAR JUA"
"UTMIK";"383813S-0615831W";-38,6369444444444;-61,9752777777778;"IAC BCA"
"UTNOS";"525017S-0665410W";-52,8380555555556;-66,9027777777778;"T662-UT662"
"UTNUM";"324424S-0603849W";-32,74;-60,6469444444444;"IAC ROS SID ROS STAR ROS"
"UTRAX";"315310S-0632153W";-31,8861111111111;-63,3647222222222;"W24-UW24-SID CBA-TMA CBA"
"UTRET";"352811S-0644549W";-35,4697222222222;-64,7636111111111;"W68"
"UTRUN";"491302S-0682812W";-49,2172222222222;-68,47;"UP664"
"VADEK";"250204S-0653131W";-25,0344444444444;-65,5252777777778;"IAC SAL"
"VADON";"325530S-0672340W";-32,925;-67,3944444444444;"W64"
"VADUN";"261349S-0640434W";-26,2302777777778;-64,0761111111111;"UT672-UZ112"
"VAKAP";"394649S-0644310W";-39,7802777777778;-64,7194444444444;"UT700"
"VAKUX";"323352S-0654537W";-32,5644444444444;-65,7602777777778;"UW57-UT685"
"VALOS";"352728S-0592102W";-35,4577777777778;-59,3505555555556;"W22-UW 22-STAR AER EZE-TMA BAIRES"
"VANAR";"341928S-0584544W";-34,3244444444444;-58,7622222222222;"IAC AER FDO PAL-STAR AER EZE"
"VAPES";"314039S-0613315W";-31,6775;-61,5541666666667;"W6-UW6-UZ111-TMA PAR"
"VAROR";"324415S-0684729W";-32,7375;-68,7913888888889;"IAC DOZ"
"VARUL";"404321S-0631358W";-40,7225;-63,2327777777778;"IAC VIE"
"VASAL";"332015S-0602854W";-33,3375;-60,4816666666667;"W20-SID ROS-TMA ROS"
"VERAS";"343537S-0581027W";-34,5936111111111;-58,1741666666667;"IAC AER-STAR AER"
"VINOS";"244633S-0615523W";-24,7758333333333;-61,9230555555555;"UM799-UM789-M789"
"VOTRA";"370350S-0580146W";-37,0638888888889;-58,0294444444444;"W29-UW29-STAR MDP-TMA MDP"
"VUBLI";"383945S-0614656W";-38,6625;-61,7822222222222;"IAC BCA"
"VUDUB";"410328S-0712530W";-41,0577777777778;-71,425;"IAC BAR"
"VUGDU";"362842S-0695035W";-36,4783333333333;-69,8430555555556;"Z122-UZ122 W44 UW44 UZ108"
"VUGLA";"253526S-0530253W";-25,5905555555556;-53,0480555555556;"STAR IGU"
"VUGMA";"331208S-0660945W";-33,2022222222222;-66,1625;"UT670-UT685"
"VUKEL";"411346S-0705554W";-41,2294444444444;-70,9316666666667;"IAC BAR"
"VUKNA";"450639S-0681629W";-45,1108333333333;-68,2747222222222;"W50-UW50-STAR CRV-SID CRV- TMA CRV"
"VUKSO";"322538S-0605803W";-32,4272222222222;-60,9675;"T672-SID ROS-STAR ROS-TMA ROS-TMA PAR"
"VULAR";"513713S-0693314W";-51,6202777777778;-69,5538888888889;"IAC GAL"
"VULDA";"343634S-0681140W";-34,6094444444444;-68,1944444444444;"IAC SRA"
"VULEB";"431036S-0650857W";-43,1766666666667;-65,1491666666667;"IAC TRE"
"VULEK";"285858S-0625321W";-28,9827777777778;-62,8891666666667;"UT680-W8"
"VULIG";"310817S-0635955W";-31,1380555555556;-63,9986111111111;"IAC CBA"
"VULRA";"460851S-0675206W";-46,1475;-67,8683333333333;"SID CRV"
"VUMER";"273709S-0640726W";-27,6191666666667;-64,1238888888889;"IAC SDE"
"VUMGO";"281735S-0583823W";-28,2930555555556;-58,6397222222222;"Z120-TMA SIS"
"VUMKI";"330938S-0610040W";-33,1605555555556;-61,0111111111111;"W72-SID ROS-STAR ROS-TMA ROS"
"VUMPO";"432623S-0651437W";-43,4397222222222;-65,2436111111111;"STAR TRE"
"VUMUD";"350423S-0640140W";-35,0730555555556;-64,0277777777778;"UT700-UT688"
"VUNIL";"455003S-0670658W";-45,8341666666667;-67,1161111111111;"STAR CRV-IAC CRV"
"VUNSI";"384030S-0620341W";-38,675;-62,0613888888889;"IAC BCA"
"VUNSO";"415155S-0661257W";-41,8652777777778;-66,2158333333333;"UT110-UT106"
"VUNUD";"274425S-0643027W";-27,7402777777778;-64,5075;"SID SDE"
"VUNUK";"534654S-0675418W";-53,7816666666667;-67,905;"IAC GRA"
"VUPAN";"344805S-0583906W";-34,8013888888889;-58,6516666666667;"IAC EZE"
"VUPNI";"450122S-0622740W";-45,0227777777778;-62,4611111111111;"UT662"
"VUPRO";"281645S-0641809W";-28,2791666666667;-64,3025;"W6-SID SDE-TMA SDE"
"VURAK";"320240S-0652753W";-32,0444444444444;-65,4647222222222;"UT653-UT685"
"VURGI";"580001S-0574121W";-58,0002777777778;-57,6891666666667;"UT103"
"VUROT";"314629S-0634820W";-31,7747222222222;-63,8055555555556;"UW15-UT652-UZ113"
"VURPI";"432106S-0652729W";-43,3516666666667;-65,4580555555556;"STAR TRE-IAC TRE"
"VURSI";"325018S-0682456W";-32,8383333333333;-68,4155555555556;"SID DOZ"
"VURTA";"331824S-0643814W";-33,3066666666667;-64,6372222222222;"W65-IAC TRC-TMA TRC-TMA RYD"
"VUSAB";"270001S-0651526W";-27,0002777777778;-65,2572222222222;"IAC TUC-STAR TUC"
"VUSAP";"362226S-0611240W";-36,3738888888889;-61,2111111111111;"UT654-UT688"
"VUSDI";"302259S-0610421W";-30,3830555555556;-61,0725;"UL417-UM400"
"VUSDO";"501606S-0715119W";-50,2683333333333;-71,8552777777778;"IAC ECA"
"VUSPO";"324334S-0604440W";-32,7261111111111;-60,7444444444444;"IAC ROS"
"VUTRO";"404920S-0631322W";-40,8222222222222;-63,2227777777778;"IAC VIE"
"VUVLA";"425008S-0650622W";-42,8355555555556;-65,1061111111111;"SID TRE"
"VUVPU";"430759S-0670725W";-43,1330555555556;-67,1236111111111;"UT110-UW40"
"XIXOS";"360755S-0640022W";-36,1319444444444;-64,0061111111111;"W62 SID OSA-TMA OSA-TMA GPI"
"XODIK";"380919S-0602515W";-38,1552777777778;-60,4208333333333;"UW18-UT694"
"XOGIV";"325955S-0684810W";-32,9986111111111;-68,8027777777778;"SID DOZ-STAR DOZ"
"XOLUD";"460313S-0683717W";-46,0536111111111;-68,6213888888889;"TMA CRV -Z123"
"XONEN";"311219S-0640145W";-31,2052777777778;-64,0291666666667;"IAC CBA"
"XONOM";"310024S-0675955W";-31,0066666666667;-67,9986111111111;"STAR JUA"
"XOPIS";"334518S-0613309W";-33,755;-61,5525;"W72-W10-UW10-UT705"
"ZARZA";"362946S-0641510W";-36,4961111111111;-64,2527777777778;"IAC OSA"
