"puntos_significativos";"coordenadas";"lat";"long";"ubicacion"
"EDNAP";"345209S-0633231W";-34,8691666666667;-63,5419444444444;"M424-UM424-W62-UW62"
"EDPAN";"543949S-0673859W";-54,6636111111111;-67,6497222222222;"STAR USU"
"EDPIL";"384903S-0615606W";-38,8175;-61,935;"IAC BCA STAR BCA"
"EDPUN";"291936S-0614201W";-29,3266666666667;-61,7002777777778;"UL404"
"EDRAR";"311002S-0692321W";-31,1672222222222;-69,3891666666667;"B560"
"EDRIS";"332519S-0663546W";-33,4219444444444;-66,5961111111111;"UW23-UL405"
"EDSIL";"480635S-0714644W";-48,1097222222222;-71,7788888888889;"G550"
"EDSUB";"284332S-0614401W";-28,7255555555556;-61,7336111111111;"UM529-UL417"
"EDVIK";"280401S-0635120W";-28,0669444444444;-63,8555555555556;"W8-UT680"
"EGAKU";"323232S-0652407W";-32,5422222222222;-65,4019444444445;"W23"
"EGANI";"363058S-0601332W";-36,5161111111111;-60,2255555555556;"UW15-UW22-W22-UZ113"
"EGBOR";"503230S-0712253W";-50,5416666666667;-71,3813888888889;"STAR ECA"
"EGEGU";"445944S-0680346W";-44,9955555555556;-68,0627777777778;"W39-UW39-SID CRV-STAR CRV- TMA CRV"
"EGETU";"324446S-0644233W";-32,7461111111111;-64,7091666666667;"W19"
"EGIKA";"293314S-0683653W";-29,5538888888889;-68,6147222222222;"UL322-UT671"
"EGIMA";"381935S-0594408W";-38,3263888888889;-59,7355555555556;"W32"
"EGLAS";"480000S-0530000W";-48;-53;"AORRA"
"EGOBO";"392320S-0682751W";-39,3888888888889;-68,4641666666667;"W30-TMA NEU"
"EGOKO";"385101S-0643506W";-38,8502777777778;-64,585;"T661-W32-UW32-UT700"
"EGOPA";"324648S-0640155W";-32,78;-64,0319444444444;"IAC TRC"
"EGOSA";"520000S-0705942W";-52;-70,995;"G550-UL670"
"EGOVI";"355256S-0611913W";-35,8822222222222;-61,3202777777778;"T655-UT655"
"EGUNO";"403611S-0702456W";-40,6030555555556;-70,4155555555556;"W26-UW26-UZ109-Z109"
"EKATO";"430934S-0663011W";-43,1594444444444;-66,5030555555556;"W40-STAR TRE-SID DRY TRE- TMA TRE"
"EKEMO";"361652S-0572358W";-36,2811111111111;-57,3994444444444;"W59"
"EKERO";"350103S-0692156W";-35,0175;-69,3655555555555;"W44-STAR MLG-TMA MLG"
"EKIKI";"454308S-0674413W";-45,7188888888889;-67,7369444444444;"SID CRV"
"EKIPI";"534706S-0680243W";-53,785;-68,0452777777778;"IAC GRA"
"EKIVO";"411937S-0705215W";-41,3269444444445;-70,8708333333333;"IAC BAR-STAR BAR"
"EKOPA";"402328S-0680130W";-40,3911111111111;-68,025;"W34-UW34-T105-UT105"
"EKOTA";"394947S-0702906W";-39,8297222222222;-70,485;"W32"
"ELABO";"332736S-0624725W";-33,46;-62,7902777777778;"W10-UW10+UZ113"
"ELADA";"430619S-0674216W";-43,1052777777778;-67,7044444444444;"W40-UW40-T105-UT105"
"ELAMO";"280602S-0552708W";-28,1005555555556;-55,4522222222222;"UL324"
"ELVER";"250454S-0653208W";-25,0816666666667;-65,5355555555555;"IAC SAL-STAR SAL"
"ENPAL";"275405S-0640338W";-27,9013888888889;-64,0605555555556;"SID SDE"
"ENPID";"344217S-0580914W";-34,7047222222222;-58,1538888888889;"IAC AER-STAR AER"
"ENRAR";"431805S-0655226W";-43,3013888888889;-65,8738888888889;"STAR TRE"
"ENRID";"265219S-0645405W";-26,8719444444444;-64,9013888888889;"UT681-UZ120"
"ENRIL";"372021S-0642220W";-37,3391666666667;-64,3722222222222;"T661-T655-UT700-UT655"
"ENTIB";"335517S-0614220W";-33,9213888888889;-61,7055555555556;"UT670-UT705"
"ENTIS";"513605S-0690933W";-51,6013888888889;-69,1591666666667;"IAC GAL"
"ENTOS";"342226S-0654232W";-34,3738888888889;-65,7088888888889;"W65-TMA VME"
"ENVOK";"281118S-0653915W";-28,1883333333333;-65,6541666666667;"IAC CAT-SID CAT-STAR CAT"
"EPGOL";"380203S-0694242W";-38,0341666666667;-69,7116666666667;"R683"
"EROSU";"344045S-0583436W";-34,6791666666667;-58,5766666666667;"IAC PAL"
"ERUMI";"370322S-0591232W";-37,0561111111111;-59,2088888888889;"IAC DIL"
"ERUTU";"321725S-0653614W";-32,2902777777778;-65,6038888888889;"Z104-W 19"
"ESABI";"254853S-0541715W";-25,8147222222222;-54,2875;"IAC IGU"
"ESAKO";"250950S-0652628W";-25,1638888888889;-65,4411111111111;"IAC SAL-STAR SAL"
"ESBER";"364444S-0642513W";-36,7455555555556;-64,4202777777778;"IAC OSA"
"ESBON";"534610S-0672714W";-53,7694444444444;-67,4538888888889;"IAC GRA"
"ESGIT";"252312S-0543547W";-25,3866666666667;-54,5963888888889;"STAR IGU"
"ESITO";"335358S-0685203W";-33,8994444444444;-68,8675;"UZ108-A307-W37-W44-UW37- UW44-UT652-UL531-SID DOZ- STAR MLG DOZ"
"ESKAD";"324011S-0600706W";-32,6697222222222;-60,1183333333333;"W6-TMA PAR"
"ESKON";"331352S-0601944W";-33,2311111111111;-60,3288888888889;"W 5 STAR ROS TMA ROS"
"ESKOP";"322039S-0662153W";-32,3441666666667;-66,3647222222222;"UW57-SID JUA"
"ESLAN";"345855S-0570505W";-34,9819444444444;-57,0847222222222;"UL405-UL211-SID EZE-STAR AER EZE"
"ESLED";"271120S-0620419W";-27,1888888888889;-62,0719444444444;"UL404-UZ120"
"ESLOD";"274307S-0584815W";-27,7186111111111;-58,8041666666667;"IAC CRS STAR SIS CRS"
"ESLUN";"453939S-0670718W";-45,6608333333333;-67,1216666666667;"STAR CRV-IAC CRV"
"ESMOK";"324738S-0604535W";-32,7938888888889;-60,7597222222222;"IAC ROS"
"ESMOS";"280541S-0594757W";-28,0947222222222;-59,7991666666667;"A307-UL531-SID CRS SIS-STAR CRS SIS-TMA SIS"
"ESNAM";"501510S-0713631W";-50,2527777777778;-71,6086111111111;"STAR ECA-IAC ECA-SID ECA"
"ESNIM";"345622S-0623939W";-34,9394444444444;-62,6608333333333;"UM424-UT705"
"ESNUG";"311832S-0682515W";-31,3088888888889;-68,4208333333333;"IAC JUA-STAR JUA"
"ESOKA";"225806S-0645117W";-22,9683333333333;-64,8547222222222;"UL322"
"ESONA";"312606S-0640952W";-31,435;-64,1644444444445;"IAC CBA"
"ESPAT";"534717S-0681109W";-53,7880555555556;-68,1858333333333;"IAC GRA"
"ESPER";"270041S-0633756W";-27,0113888888889;-63,6322222222222;"UT672-UZ120-ANTIGRANIZO JUJ SUP"
"ESPEV";"514209S-0693831W";-51,7025;-69,6419444444444;"IAC GAL-STAR GAL"
"ESPIP";"270107S-0650820W";-27,0186111111111;-65,1388888888889;"IAC TUC"
"ESUBI";"284114S-0654626W";-28,6872222222222;-65,7738888888889;"IAC CAT-SID CAT"
"ESUBO";"312344S-0641722W";-31,3955555555556;-64,2894444444444;"IAC CBA"
"ESUKA";"270222S-0534640W";-27,0394444444444;-53,7777777777778;"UM657"
"ESURO";"374143S-0580808W";-37,6952777777778;-58,1355555555556;"W28-SID MDP-STAR MDP-TMA MDP-TMA DIL"
"ETALU";"343058S-0671055W";-34,5161111111111;-67,1819444444445;"UM424-UT685"
"ETASO";"454959S-0684102W";-45,8330555555556;-68,6838888888889;"W58-SID CRV-STAR CRV-TMA CRV"
"ETEPO";"304320S-0650114W";-30,7222222222222;-65,0205555555556;"W16-UW16-SID CBA STAR CBA- TMA CBA"
"ETIBU";"383305S-0685031W";-38,5513888888889;-68,8419444444444;"R683- STAR NEU"
"EVLAD";"425746S-0660554W";-42,9627777777778;-66,0983333333333;"STAR TRE"
"EVNAD";"383546S-0615257W";-38,5961111111111;-61,8825;"STAR BCA IAC BCA"
"EVTAM";"311354S-0623804W";-31,2316666666667;-62,6344444444444;"UM418-UT652"
"FRAGA";"333458S-0660103W";-33,5827777777778;-66,0175;"W9-SID UIS STAR-UIS TMA RYD- TMA UIS"
"FUSCA";"343930S-0581416W";-34,6583333333333;-58,2377777777778;"IAC AER"
"GATOS";"353959S-0563502W";-35,6663888888889;-56,5838888888889;"UL211-STAR EZE"
"GATUD";"435947S-0655248W";-43,9963888888889;-65,88;"UP664-W18-SID CRV DRY TRE- STAR CRV TRE-TMA TRE"
"GAVAM";"310207S-0610410W";-31,0352777777778;-61,0694444444444;"W8-UW8-TMA PAR"
"GAVEX";"264159S-0634838W";-26,6997222222222;-63,8105555555556;"UT672-UM799-SID JUJ-STAR JUJ"
"GAVIK";"380632S-0572747W";-38,1088888888889;-57,4630555555556;"STAR MDP-IAC MDP"
"GAXOK";"221312S-0643636W";-22,22;-64,61;"UL322-STAR SAL"
"GEBEM";"351201S-0590932W";-35,2002777777778;-59,1588888888889;"T654 UT 654-W22 UW22-SID AER EZE-STAR AER EZE"
"GEBIM";"430318S-0650956W";-43,055;-65,1655555555556;"SID TRE"
"GEBOS";"562248S-0654400W";-56,38;-65,7333333333333;"W56-UW56-Z133-UZ133-"
"GEBUN";"263440S-0534646W";-26,5777777777778;-53,7794444444444;"UL216-R563"
"GEDAB";"533524S-0682427W";-53,59;-68,4075;"SID GRA"
"GEDOL";"314502S-0682459W";-31,7505555555556;-68,4163888888889;"IAC JUA"
"GEDUK";"324853S-0612200W";-32,8147222222222;-61,3666666666667;"W55-SID ROS-STAR ROS-TMA ROS"
"GEDUN";"332923S-0662256W";-33,4897222222222;-66,3822222222222;"UT685-UL405"
"GEGAL";"504634S-0720631W";-50,7761111111111;-72,1086111111111;"T659-SID ECA"
"GEGAT";"355549S-0681926W";-35,9302777777778;-68,3238888888889;"UW37-UT685"
"GEGEP";"371042S-0593500W";-37,1783333333333;-59,5833333333333;"UT694"
"GEGUS";"301538S-0600038W";-30,2605555555556;-60,0105555555556;"W20-UW20"
"GEKAL";"274650S-0690530W";-27,7805555555556;-69,0916666666667;"UL650-UT691"
"GELEL";"385158S-0675538W";-38,8661111111111;-67,9272222222222;"IAC NEU-STAR NEU"
"GELEV";"495141S-0713447W";-49,8613888888889;-71,5797222222222;"SID ECA"
"GELEX";"283407S-0654847W";-28,5686111111111;-65,8130555555556;"IAC CAT-SID CAT"
"GELOS";"330510S-0635558W";-33,0861111111111;-63,9327777777778;"IAC TRC"
"GELRI";"423946S-0650651W";-42,6627777777778;-65,1141666666667;"SID DRY-SID TRE"
"GELUV";"273246S-0641647W";-27,5461111111111;-64,2797222222222;"IAC SDE"
